ticker,company_name,sector,industry
AMBUJACEM.NS,Ambuja Cements Ltd.,Basic Materials,Building Materials
ANANDRATHI.NS,Anand Rathi Wealth Ltd.,Financial Services,Asset Management
ANANTRAJ.NS,Anant Raj Ltd.,Real Estate,Real Estate - Development
ANGELONE.NS,Angel One Ltd.,Financial Services,Capital Markets
ANTHEM.NS,Anthem Biosciences Ltd.,Healthcare,Biotechnology
ANURAS.NS,Anupam Rasayan India Ltd.,Basic Materials,Specialty Chemicals
APARINDS.NS,Apar Industries Ltd.,Industrials,Electrical Equipment & Parts
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,Medical Care Facilities
APOLLOTYRE.NS,Apollo Tyres Ltd.,Consumer Cyclical,Auto Parts
APTUS.NS,Aptus Value Housing Finance India Ltd.,Financial Services,Mortgage Finance
ASAHIINDIA.NS,Asahi India Glass Ltd.,Consumer Cyclical,Auto Parts
ASHOKLEY.NS,Ashok Leyland Ltd.,Industrials,Farm & Heavy Construction Machinery
ASIANPAINT.NS,Asian Paints Ltd.,Basic Materials,Specialty Chemicals
ASTERDM.NS,Aster DM Healthcare Ltd.,Healthcare,Medical Care Facilities
ASTRAL.NS,Astral Ltd.,Industrials,Building Products & Equipment
ATHERENERG.NS,Ather Energy Ltd.,Consumer Cyclical,Auto Manufacturers
ATUL.NS,Atul Ltd.,Basic Materials,Specialty Chemicals
AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
AIIL.NS,Authum Investment & Infrastructure Ltd.,Financial Services,Capital Markets
DMART.NS,Avenue Supermarts Ltd.,Consumer Defensive,Discount Stores
AXISBANK.NS,Axis Bank Ltd.,Financial Services,Banks - Regional
BEML.NS,BEML Ltd.,Industrials,Conglomerates
BLS.NS,BLS International Services Ltd.,Industrials,Specialty Business Services
BSE.NS,BSE Ltd.,Financial Services,Financial Data & Stock Exchanges
BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Consumer Cyclical,Auto Manufacturers
BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services,Credit Services
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates
BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,Financial Services,Asset Management
BAJAJHFL.NS,Bajaj Housing Finance Ltd.,Financial Services,Mortgage Finance
BALKRISIND.NS,Balkrishna Industries Ltd.,Consumer Cyclical,Auto Parts
BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,Consumer Defensive,Confectioners
BANDHANBNK.NS,Bandhan Bank Ltd.,Financial Services,Banks - Regional
BANKBARODA.NS,Bank of Baroda,Financial Services,Banks - Regional
BANKINDIA.NS,Bank of India,Financial Services,Banks - Regional
MAHABANK.NS,Bank of Maharashtra,Financial Services,Banks - Regional
BATAINDIA.NS,Bata India Ltd.,Consumer Cyclical,Footwear & Accessories
BAYERCROP.NS,Bayer Cropscience Ltd.,Basic Materials,Agricultural Inputs
BELRISE.NS,Belrise Industries Ltd.,Consumer Cyclical,Auto Parts
BERGEPAINT.NS,Berger Paints India Ltd.,Basic Materials,Specialty Chemicals
BDL.NS,Bharat Dynamics Ltd.,Industrials,Aerospace & Defense
BEL.NS,Bharat Electronics Ltd.,Industrials,Aerospace & Defense
BHARATFORG.NS,Bharat Forge Ltd.,Consumer Cyclical,Auto Parts
BHEL.NS,Bharat Heavy Electricals Ltd.,Industrials,Specialty Industrial Machinery
BPCL.NS,Bharat Petroleum Corporation Ltd.,Energy,Oil & Gas Refining & Marketing
BHARTIARTL.NS,Bharti Airtel Ltd.,Communication Services,Telecom Services
BHARTIHEXA.NS,Bharti Hexacom Ltd.,Communication Services,Telecom Services
BIKAJI.NS,Bikaji Foods International Ltd.,Consumer Defensive,Packaged Foods
GROWW.NS,Billionbrains Garage Ventures Ltd.,Financial Services,Capital Markets
BIOCON.NS,Biocon Ltd.,Healthcare,Biotechnology
BSOFT.NS,Birlasoft Ltd.,Technology,Information Technology Services
BLUEDART.NS,Blue Dart Express Ltd.,Industrials,Integrated Freight & Logistics
BLUEJET.NS,Blue Jet Healthcare Ltd.,Healthcare,Biotechnology
BLUESTARCO.NS,Blue Star Ltd.,Industrials,Building Products & Equipment
BBTC.NS,Bombay Burmah Trading Corporation Ltd.,Consumer Defensive,Packaged Foods
BOSCHLTD.NS,Bosch Ltd.,Consumer Cyclical,Auto Parts
FIRSTCRY.NS,Brainbees Solutions Ltd.,Consumer Cyclical,Internet Retail
BRIGADE.NS,Brigade Enterprises Ltd.,Real Estate,Real Estate - Development
BRITANNIA.NS,Britannia Industries Ltd.,Consumer Defensive,Packaged Foods
MAPMYINDIA.NS,C.E. Info Systems Ltd.,Technology,Software - Infrastructure
CCL.NS,CCL Products (I) Ltd.,Consumer Defensive,Packaged Foods
CESC.NS,CESC Ltd.,Utilities,Utilities - Regulated Electric
CGPOWER.NS,CG Power and Industrial Solutions Ltd.,Industrials,Electrical Equipment & Parts
CIEINDIA.NS,CIE Automotive India Ltd.,Consumer Cyclical,Auto Parts
CRISIL.NS,CRISIL Ltd.,Financial Services,Financial Data & Stock Exchanges
CANFINHOME.NS,Can Fin Homes Ltd.,Financial Services,Mortgage Finance
CANBK.NS,Canara Bank,Financial Services,Banks - Regional
CANHLIFE.NS,Canara HSBC Life Insurance Company Ltd.,Financial Services,Insurance - Life
CAPLIPOINT.NS,Caplin Point Laboratories Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
CGCL.NS,Capri Global Capital Ltd.,Financial Services,Credit Services
CARBORUNIV.NS,Carborundum Universal Ltd.,Industrials,Conglomerates
CARTRADE.NS,Cartrade Tech Ltd.,Consumer Cyclical,Auto & Truck Dealerships
CASTROLIND.NS,Castrol India Ltd.,Energy,Oil & Gas Refining & Marketing
CEATLTD.NS,Ceat Ltd.,Consumer Cyclical,Auto Parts
CEMPRO.NS,Cemindia Projects Ltd.,Industrials,Engineering & Construction
CENTRALBK.NS,Central Bank of India,Financial Services,Banks - Regional
CDSL.NS,Central Depository Services (India) Ltd.,Financial Services,Capital Markets
CHALET.NS,Chalet Hotels Ltd.,Consumer Cyclical,Lodging
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.,Basic Materials,Agricultural Inputs
CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.,Energy,Oil & Gas Refining & Marketing
CHOICEIN.NS,Choice International Ltd.,Financial Services,Capital Markets
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,Financial Services,Credit Services
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services,Credit Services
CIPLA.NS,Cipla Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
CUB.NS,City Union Bank Ltd.,Financial Services,Banks - Regional
CLEAN.NS,Clean Science and Technology Ltd.,Basic Materials,Specialty Chemicals
COALINDIA.NS,Coal India Ltd.,Energy,Thermal Coal
COCHINSHIP.NS,Cochin Shipyard Ltd.,Industrials,Aerospace & Defense
COFORGE.NS,Coforge Ltd.,Technology,Information Technology Services
COHANCE.NS,Cohance Lifesciences Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
COLPAL.NS,Colgate Palmolive (India) Ltd.,Consumer Defensive,Household & Personal Products
CAMS.NS,Computer Age Management Services Ltd.,Technology,Information Technology Services
CONCORDBIO.NS,Concord Biotech Ltd.,Healthcare,Biotechnology
CONCOR.NS,Container Corporation of India Ltd.,Industrials,Railroads
COROMANDEL.NS,Coromandel International Ltd.,Basic Materials,Agricultural Inputs
CRAFTSMAN.NS,Craftsman Automation Ltd.,Consumer Cyclical,Auto Parts
CREDITACC.NS,CreditAccess Grameen Ltd.,Financial Services,Credit Services
CROMPTON.NS,Crompton Greaves Consumer Electricals Ltd.,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CUMMINSIND.NS,Cummins India Ltd.,Industrials,Specialty Industrial Machinery
CYIENT.NS,Cyient Ltd.,Industrials,Conglomerates
DCMSHRIRAM.NS,DCM Shriram Ltd.,Industrials,Conglomerates
DLF.NS,DLF Ltd.,Real Estate,Real Estate - Development
DOMS.NS,DOMS Industries Ltd.,Industrials,Business Equipment & Supplies
DABUR.NS,Dabur India Ltd.,Consumer Defensive,Household & Personal Products
DALBHARAT.NS,Dalmia Bharat Ltd.,Basic Materials,Building Materials
DATAPATTNS.NS,Data Patterns (India) Ltd.,Industrials,Aerospace & Defense
DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Basic Materials,Chemicals
DEEPAKNTR.NS,Deepak Nitrite Ltd.,Basic Materials,Chemicals
DELHIVERY.NS,Delhivery Ltd.,Industrials,Integrated Freight & Logistics
DEVYANI.NS,Devyani International Ltd.,Consumer Cyclical,Restaurants
DIVISLAB.NS,Divi's Laboratories Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
DIXON.NS,Dixon Technologies (India) Ltd.,Technology,Consumer Electronics
LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,Healthcare,Diagnostics & Research
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
DUMMYVEDL1.NS,Dummy Vedanta Ltd. 1,Metals & Mining,Metals & Mining
DUMMYVEDL2.NS,Dummy Vedanta Ltd. 2,Power,Power
DUMMYVEDL3.NS,Dummy Vedanta Ltd. 3,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels
DUMMYVEDL4.NS,Dummy Vedanta Ltd. 4,Metals & Mining,Metals & Mining
EIDPARRY.NS,E.I.D. Parry (India) Ltd.,Basic Materials,Agricultural Inputs
EIHOTEL.NS,EIH Ltd.,Consumer Cyclical,Lodging
EICHERMOT.NS,Eicher Motors Ltd.,Consumer Cyclical,Auto Manufacturers
ELECON.NS,Elecon Engineering Co. Ltd.,Industrials,Specialty Industrial Machinery
ELGIEQUIP.NS,Elgi Equipments Ltd.,Industrials,Specialty Industrial Machinery
EMAMILTD.NS,Emami Ltd.,Consumer Defensive,Household & Personal Products
EMCURE.NS,Emcure Pharmaceuticals Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
EMMVEE.NS,Emmvee Photovoltaic Power Ltd.,Technology,Solar
ENDURANCE.NS,Endurance Technologies Ltd.,Consumer Cyclical,Auto Parts
ENGINERSIN.NS,Engineers India Ltd.,Industrials,Engineering & Construction
ERIS.NS,Eris Lifesciences Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
ESCORTS.NS,Escorts Kubota Ltd.,Industrials,Farm & Heavy Construction Machinery
ETERNAL.NS,Eternal Ltd.,Consumer Cyclical,Internet Retail
EXIDEIND.NS,Exide Industries Ltd.,Consumer Cyclical,Auto Parts
NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Cyclical,Internet Retail
FEDERALBNK.NS,Federal Bank Ltd.,Financial Services,Banks - Regional
FACT.NS,Fertilisers and Chemicals Travancore Ltd.,Basic Materials,Agricultural Inputs
FINCABLES.NS,Finolex Cables Ltd.,Industrials,Electrical Equipment & Parts
FSL.NS,Firstsource Solutions Ltd.,Technology,Information Technology Services
FIVESTAR.NS,Five-Star Business Finance Ltd.,Financial Services,Credit Services
FORCEMOT.NS,Force Motors Ltd.,Consumer Cyclical,Auto Manufacturers
FORTIS.NS,Fortis Healthcare Ltd.,Healthcare,Medical Care Facilities
GAIL.NS,GAIL (India) Ltd.,Utilities,Utilities - Regulated Gas
GVT&D.NS,GE Vernova T&D India Ltd.,Industrials,Specialty Industrial Machinery
GMRAIRPORT.NS,GMR Airports Ltd.,Industrials,Airports & Air Services
GABRIEL.NS,Gabriel India Ltd.,Consumer Cyclical,Auto Parts
GALLANTT.NS,Gallantt Ispat Ltd.,Basic Materials,Steel
GRSE.NS,Garden Reach Shipbuilders & Engineers Ltd.,Industrials,Aerospace & Defense
GICRE.NS,General Insurance Corporation of India,Financial Services,Insurance - Reinsurance
GILLETTE.NS,Gillette India Ltd.,Consumer Defensive,Household & Personal Products
GLAND.NS,Gland Pharma Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
GLAXO.NS,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Drug Manufacturers - General
GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
MEDANTA.NS,Global Health Ltd.,Healthcare,Medical Care Facilities
GODIGIT.NS,Go Digit General Insurance Ltd.,Financial Services,Insurance - Property & Casualty
GPIL.NS,Godawari Power & Ispat Ltd.,Basic Materials,Steel
GODFRYPHLP.NS,Godfrey Phillips India Ltd.,Consumer Defensive,Tobacco
GODREJCP.NS,Godrej Consumer Products Ltd.,Consumer Defensive,Household & Personal Products
GODREJIND.NS,Godrej Industries Ltd.,Industrials,Conglomerates
GODREJPROP.NS,Godrej Properties Ltd.,Real Estate,Real Estate - Development
GRANULES.NS,Granules India Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
GRAPHITE.NS,Graphite India Ltd.,Industrials,Electrical Equipment & Parts
GRASIM.NS,Grasim Industries Ltd.,Basic Materials,Building Materials
GRAVITA.NS,Gravita India Ltd.,Industrials,Metal Fabrication
GESHIP.NS,Great Eastern Shipping Co. Ltd.,Industrials,Marine Shipping
FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd.,Basic Materials,Specialty Chemicals
GMDCLTD.NS,Gujarat Mineral Development Corporation Ltd.,Energy,Thermal Coal
HEG.NS,H.E.G. Ltd.,Industrials,Electrical Equipment & Parts
HBLENGINE.NS,HBL Engineering Ltd.,Industrials,Electrical Equipment & Parts
HCLTECH.NS,HCL Technologies Ltd.,Technology,Information Technology Services
HDBFS.NS,HDB Financial Services Ltd.,Financial Services,Credit Services
HDFCAMC.NS,HDFC Asset Management Company Ltd.,Financial Services,Asset Management
HDFCBANK.NS,HDFC Bank Ltd.,Financial Services,Banks - Regional
HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,Financial Services,Insurance - Life
HFCL.NS,HFCL Ltd.,Technology,Communication Equipment
HAVELLS.NS,Havells India Ltd.,Industrials,Electrical Equipment & Parts
HEROMOTOCO.NS,Hero MotoCorp Ltd.,Consumer Cyclical,Auto Manufacturers
HEXT.NS,Hexaware Technologies Ltd.,Technology,Information Technology Services
HSCL.NS,Himadri Speciality Chemical Ltd.,Basic Materials,Specialty Chemicals
HINDALCO.NS,Hindalco Industries Ltd.,Basic Materials,Aluminum
HAL.NS,Hindustan Aeronautics Ltd.,Industrials,Aerospace & Defense
HINDCOPPER.NS,Hindustan Copper Ltd.,Basic Materials,Copper
HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,Energy,Oil & Gas Refining & Marketing
HINDUNILVR.NS,Hindustan Unilever Ltd.,Consumer Defensive,Household & Personal Products
HINDZINC.NS,Hindustan Zinc Ltd.,Basic Materials,Other Industrial Metals & Mining
POWERINDIA.NS,Hitachi Energy India Ltd.,Industrials,Electrical Equipment & Parts
HOMEFIRST.NS,Home First Finance Company India Ltd.,Financial Services,Mortgage Finance
HONASA.NS,Honasa Consumer Ltd.,Consumer Defensive,Household & Personal Products
HONAUT.NS,Honeywell Automation India Ltd.,Industrials,Electrical Equipment & Parts
HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services,Credit Services
HYUNDAI.NS,Hyundai Motor India Ltd.,Consumer Cyclical,Auto Manufacturers
ICICIBANK.NS,ICICI Bank Ltd.,Financial Services,Banks - Regional
ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,Financial Services,Insurance - Diversified
ICICIAMC.NS,ICICI Prudential Asset Management Company Ltd.,Financial Services,Asset Management
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,Financial Services,Insurance - Life
IDBI.NS,IDBI Bank Ltd.,Financial Services,Banks - Regional
IDFCFIRSTB.NS,IDFC First Bank Ltd.,Financial Services,Banks - Regional
IFCI.NS,IFCI Ltd.,Financial Services,Credit Services
IIFL.NS,IIFL Finance Ltd.,Financial Services,Credit Services
IRB.NS,IRB Infrastructure Developers Ltd.,Industrials,Infrastructure Operations
IRCON.NS,IRCON International Ltd.,Industrials,Engineering & Construction
ITCHOTELS.NS,ITC Hotels Ltd.,Consumer Cyclical,Resorts & Casinos
ITC.NS,ITC Ltd.,Consumer Defensive,Tobacco
ITI.NS,ITI Ltd.,Technology,Communication Equipment
INDGN.NS,Indegene Ltd.,Healthcare,Health Information Services
INDIACEM.NS,India Cements Ltd.,Basic Materials,Building Materials
INDIAMART.NS,Indiamart Intermesh Ltd.,Communication Services,Internet Content & Information
INDIANB.NS,Indian Bank,Financial Services,Banks - Regional
IEX.NS,Indian Energy Exchange Ltd.,Financial Services,Capital Markets
INDHOTEL.NS,Indian Hotels Co. Ltd.,Consumer Cyclical,Lodging
IOC.NS,Indian Oil Corporation Ltd.,Energy,Oil & Gas Refining & Marketing
IOB.NS,Indian Overseas Bank,Financial Services,Banks - Regional
IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Cyclical,Travel Services
IRFC.NS,Indian Railway Finance Corporation Ltd.,Financial Services,Credit Services
IREDA.NS,Indian Renewable Energy Development Agency Ltd.,Financial Services,Credit Services
IGL.NS,Indraprastha Gas Ltd.,Utilities,Utilities - Regulated Gas
INDUSTOWER.NS,Indus Towers Ltd.,Communication Services,Telecom Services
INDUSINDBK.NS,IndusInd Bank Ltd.,Financial Services,Banks - Regional
NAUKRI.NS,Info Edge (India) Ltd.,Communication Services,Internet Content & Information
INFY.NS,Infosys Ltd.,Technology,Information Technology Services
INOXWIND.NS,Inox Wind Ltd.,Industrials,Specialty Industrial Machinery
INTELLECT.NS,Intellect Design Arena Ltd.,Technology,Software - Application
INDIGO.NS,InterGlobe Aviation Ltd.,Industrials,Airlines
IGIL.NS,International Gemological Institute Ltd.,Basic Materials,Other Precious Metals & Mining
IKS.NS,Inventurus Knowledge Solutions Ltd.,Healthcare,Health Information Services
IPCALAB.NS,Ipca Laboratories Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
JBCHEPHARM.NS,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
JKCEMENT.NS,J.K. Cement Ltd.,Basic Materials,Building Materials
JBMA.NS,JBM Auto Ltd.,Consumer Cyclical,Auto Parts
JKTYRE.NS,JK Tyre & Industries Ltd.,Consumer Cyclical,Auto Parts
JMFINANCIL.NS,JM Financial Ltd.,Financial Services,Capital Markets
JSWCEMENT.NS,JSW Cement Ltd.,Basic Materials,Building Materials
JSWDULUX.NS,JSW Dulux Ltd.,Consumer Durables,Consumer Durables
JSWENERGY.NS,JSW Energy Ltd.,Utilities,Utilities - Independent Power Producers
JSWINFRA.NS,JSW Infrastructure Ltd.,Industrials,Marine Shipping
JSWSTEEL.NS,JSW Steel Ltd.,Basic Materials,Steel
JAINREC.NS,Jain Resource Recycling Ltd.,Basic Materials,Other Industrial Metals & Mining
JPPOWER.NS,Jaiprakash Power Ventures Ltd.,Utilities,Utilities - Independent Power Producers
J&KBANK.NS,Jammu & Kashmir Bank Ltd.,Financial Services,Banks - Regional
JINDALSAW.NS,Jindal Saw Ltd.,Basic Materials,Steel
JSL.NS,Jindal Stainless Ltd.,Basic Materials,Steel
JINDALSTEL.NS,Jindal Steel Ltd.,Basic Materials,Steel
JIOFIN.NS,Jio Financial Services Ltd.,Financial Services,Asset Management
JUBLFOOD.NS,Jubilant Foodworks Ltd.,Consumer Cyclical,Restaurants
JUBLINGREA.NS,Jubilant Ingrevia Ltd.,Basic Materials,Specialty Chemicals
JUBLPHARMA.NS,Jubilant Pharmova Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
JWL.NS,Jupiter Wagons Ltd.,Industrials,Railroads
JYOTICNC.NS,Jyoti CNC Automation Ltd.,Industrials,Specialty Industrial Machinery
KPRMILL.NS,K.P.R. Mill Ltd.,Consumer Cyclical,Textile Manufacturing
KEI.NS,KEI Industries Ltd.,Industrials,Electrical Equipment & Parts
KPITTECH.NS,KPIT Technologies Ltd.,Technology,Software - Infrastructure
KAJARIACER.NS,Kajaria Ceramics Ltd.,Industrials,Building Products & Equipment
KPIL.NS,Kalpataru Projects International Ltd.,Industrials,Engineering & Construction
KALYANKJIL.NS,Kalyan Jewellers India Ltd.,Consumer Cyclical,Luxury Goods
KARURVYSYA.NS,Karur Vysya Bank Ltd.,Financial Services,Banks - Regional
KAYNES.NS,Kaynes Technology India Ltd.,Technology,Electronic Components
KEC.NS,Kec International Ltd.,Industrials,Engineering & Construction
KFINTECH.NS,Kfin Technologies Ltd.,Technology,Software - Application
KIRLOSENG.NS,Kirloskar Oil Eng Ltd.,Industrials,Specialty Industrial Machinery
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financial Services,Banks - Regional
KIMS.NS,Krishna Institute of Medical Sciences Ltd.,Healthcare,Medical Care Facilities
LTF.NS,L&T Finance Ltd.,Financial Services,Credit Services
LTTS.NS,L&T Technology Services Ltd.,Technology,Information Technology Services
LGEINDIA.NS,LG Electronics India Ltd.,Technology,Consumer Electronics
LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services,Mortgage Finance
LTFOODS.NS,LT Foods Ltd.,Consumer Defensive,Packaged Foods
LTM.NS,LTM Ltd.,Technology,Information Technology Services
LT.NS,Larsen & Toubro Ltd.,Industrials,Engineering & Construction
LATENTVIEW.NS,Latent View Analytics Ltd.,Industrials,Consulting Services
LAURUSLABS.NS,Laurus Labs Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
THELEELA.NS,Leela Palaces Hotels & Resorts Ltd.,Consumer Cyclical,Lodging
LEMONTREE.NS,Lemon Tree Hotels Ltd.,Consumer Cyclical,Lodging
LENSKART.NS,Lenskart Solutions Ltd.,Healthcare,Medical Instruments & Supplies
LICI.NS,Life Insurance Corporation of India,Financial Services,Insurance - Life
LINDEINDIA.NS,Linde India Ltd.,Basic Materials,Specialty Chemicals
LLOYDSME.NS,Lloyds Metals And Energy Ltd.,Basic Materials,Steel
LODHA.NS,Lodha Developers Ltd.,Real Estate,Real Estate - Development
LUPIN.NS,Lupin Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
MMTC.NS,MMTC Ltd.,Industrials,Conglomerates
MRF.NS,MRF Ltd.,Consumer Cyclical,Auto Parts
MGL.NS,Mahanagar Gas Ltd.,Utilities,Utilities - Regulated Gas
M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services,Credit Services
M&M.NS,Mahindra & Mahindra Ltd.,Consumer Cyclical,Auto Manufacturers
MANAPPURAM.NS,Manappuram Finance Ltd.,Financial Services,Credit Services
MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,Energy,Oil & Gas Refining & Marketing
MANKIND.NS,Mankind Pharma Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
MARICO.NS,Marico Ltd.,Consumer Defensive,Household & Personal Products
MARUTI.NS,Maruti Suzuki India Ltd.,Consumer Cyclical,Auto Manufacturers
MFSL.NS,Max Financial Services Ltd.,Financial Services,Insurance - Life
MAXHEALTH.NS,Max Healthcare Institute Ltd.,Healthcare,Medical Care Facilities
MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,Industrials,Aerospace & Defense
MEESHO.NS,Meesho Ltd.,Consumer Cyclical,Internet Retail
MINDACORP.NS,Minda Corporation Ltd.,Consumer Cyclical,Auto Parts
MSUMI.NS,Motherson Sumi Wiring India Ltd.,Consumer Cyclical,Auto Parts
MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,Financial Services,Capital Markets
MPHASIS.NS,MphasiS Ltd.,Technology,Information Technology Services
MCX.NS,Multi Commodity Exchange of India Ltd.,Financial Services,Financial Data & Stock Exchanges
MUTHOOTFIN.NS,Muthoot Finance Ltd.,Financial Services,Credit Services
NATCOPHARM.NS,NATCO Pharma Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
NBCC.NS,NBCC (India) Ltd.,Industrials,Engineering & Construction
NCC.NS,NCC Ltd.,Industrials,Engineering & Construction
NHPC.NS,NHPC Ltd.,Utilities,Utilities - Renewable
NLCINDIA.NS,NLC India Ltd.,Utilities,Utilities - Regulated Electric
NMDC.NS,NMDC Ltd.,Basic Materials,Steel
NSLNISP.NS,NMDC Steel Ltd.,Basic Materials,Steel
NTPCGREEN.NS,NTPC Green Energy Ltd.,Utilities,Utilities - Renewable
NTPC.NS,NTPC Ltd.,Utilities,Utilities - Regulated Electric
NH.NS,Narayana Hrudayalaya Ltd.,Healthcare,Medical Care Facilities
NATIONALUM.NS,National Aluminium Co. Ltd.,Basic Materials,Aluminum
NAVA.NS,Nava Ltd.,Industrials,Conglomerates
NAVINFLUOR.NS,Navin Fluorine International Ltd.,Basic Materials,Chemicals
